id,name,city,country,stratum,qid,match_status,match_method,confidence,en_article,he_article,en_summary_chars,en_summary_words,he_summary_chars,he_summary_words,image_available,image_filename,image_width,image_height,aspect_ratio,image_file_size_mb,image_license,attribution_required,osm_match,osm_type,osm_id,opening_hours_status,opening_hours_value,note,wikidata_url,wikipedia_en_url,wikipedia_he_url,commons_url,thumbnail_400_url,osm_url
1,Sensō-ji,Tokyo,Japan,A,Q615183,exact,name + coordinates,high,True,False,462,74,,,True,Sensoji 2023.jpg,3466,2476,1.4,2.91,CC0 1.0,False,True,way,173154847,present,Mo-Su 06:00-17:00,Exact temple entity and OSM object.,https://www.wikidata.org/wiki/Q615183,https://en.wikipedia.org/wiki/Sens%C5%8D-ji,,https://commons.wikimedia.org/wiki/File:Sensoji%202023.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sensoji%202023.jpg?width=400,https://www.openstreetmap.org/way/173154847
2,Tokyo Skytree,Tokyo,Japan,A,Q57965,exact,name + coordinates,high,True,True,383,68,278,46,True,Tokyo Skytree 2014 Ⅲ.jpg,1632,2500,0.653,1.56,CC BY-SA 3.0,True,True,way,288269147,unknown,,Portrait image is a difficult crop case.,https://www.wikidata.org/wiki/Q57965,https://en.wikipedia.org/wiki/Tokyo_Skytree,https://he.wikipedia.org/wiki/%D7%A2%D7%A5_%D7%94%D7%A9%D7%9E%D7%99%D7%99%D7%9D,https://commons.wikimedia.org/wiki/File:Tokyo%20Skytree%202014%20%E2%85%A2.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Tokyo%20Skytree%202014%20%E2%85%A2.jpg?width=400,https://www.openstreetmap.org/way/288269147
3,Meiji Jingū / Meiji Shrine,Tokyo,Japan,A,Q287165,exact,name + coordinates,high,True,False,241,40,,,True,Meiji Jingu 2023-3.jpg,4032,2268,1.778,2.56,CC BY-SA 4.0,True,True,way,469908925,unknown,,Exact shrine entity.,https://www.wikidata.org/wiki/Q287165,https://en.wikipedia.org/wiki/Meiji_Shrine,,https://commons.wikimedia.org/wiki/File:Meiji%20Jingu%202023-3.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Meiji%20Jingu%202023-3.jpg?width=400,https://www.openstreetmap.org/way/469908925
4,Shibuya Crossing,Tokyo,Japan,A,Q21083961,exact,name,high,True,True,548,86,,,True,"Shibuya Crossing, Aerial.jpg",3840,2160,1.778,16.94,CC BY 4.0,True,False,,,unknown,,Exact crossing; no OSM external ID was verified in this run.,https://www.wikidata.org/wiki/Q21083961,https://en.wikipedia.org/wiki/Shibuya_Crossing,,https://commons.wikimedia.org/wiki/File:Shibuya%20Crossing%2C%20Aerial.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Shibuya%20Crossing%2C%20Aerial.jpg?width=400,
5,teamLab Planets TOKYO,Tokyo,Japan,A,Q97613610,exact,name,high,True,True,,,,,True,teamLab Planets TOKYO image (P18),,,,,unverified,,False,,,unknown,,"REST title lookup failed, but the exact Wikidata item has English and Hebrew sitelinks.",https://www.wikidata.org/wiki/Q97613610,https://en.wikipedia.org/wiki/teamLab_Planets,https://he.wikipedia.org/wiki/teamLab_Planets,https://commons.wikimedia.org/wiki/File:teamLab%20Planets%20TOKYO%20image%20%28P18%29,https://commons.wikimedia.org/wiki/Special:Redirect/file/teamLab%20Planets%20TOKYO%20image%20%28P18%29?width=400,
6,Tsukiji Outer Market,Tokyo,Japan,A,Q859471,exact,name + coordinates,high,True,True,722,118,,,True,2018 Tsukiji fish market.jpg,2500,1608,1.555,3.68,CC BY-SA 4.0,True,True,way,172598657,unknown,,"Wikipedia describes the former wholesale market; app label says Outer Market, so product copy must avoid conflating them.",https://www.wikidata.org/wiki/Q859471,https://en.wikipedia.org/wiki/Tsukiji_fish_market,,https://commons.wikimedia.org/wiki/File:2018%20Tsukiji%20fish%20market.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/2018%20Tsukiji%20fish%20market.jpg?width=400,https://www.openstreetmap.org/way/172598657
7,Ueno Park,Tokyo,Japan,A,Q746216,exact,name + coordinates,high,True,True,614,103,,,True,Ueno park.jpg,2592,1944,1.333,1.22,unverified,,True,relation,5413419,unknown,,Exact park entity.,https://www.wikidata.org/wiki/Q746216,https://en.wikipedia.org/wiki/Ueno_Park,,https://commons.wikimedia.org/wiki/File:Ueno%20park.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Ueno%20park.jpg?width=400,https://www.openstreetmap.org/relation/5413419
8,Tokyo National Museum,Tokyo,Japan,A,Q653433,exact,name + coordinates,high,True,True,1321,215,,,True,"Tokyo National Museum, Honkan 2010.jpg",3476,2307,1.507,3.89,CC BY-SA 3.0 / GFDL,True,True,way,33439660,unknown,,Long English summary is an outlier.,https://www.wikidata.org/wiki/Q653433,https://en.wikipedia.org/wiki/Tokyo_National_Museum,,https://commons.wikimedia.org/wiki/File:Tokyo%20National%20Museum%2C%20Honkan%202010.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Tokyo%20National%20Museum%2C%20Honkan%202010.jpg?width=400,https://www.openstreetmap.org/way/33439660
9,Shinjuku Gyoen National Garden,Tokyo,Japan,A,Q776863,exact,name + coordinates,high,True,False,344,57,,,True,Shinjuku Gyoen National Garden - sakura 3.JPG,2500,1629,1.535,3.16,unverified,,True,way,15772074,present,Mo off; Tu-Su 09:30-16:00; Dec 29-Jan 03 off,Exact garden and OSM object.,https://www.wikidata.org/wiki/Q776863,https://en.wikipedia.org/wiki/Shinjuku_Gyo-en,,https://commons.wikimedia.org/wiki/File:Shinjuku%20Gyoen%20National%20Garden%20-%20sakura%203.JPG,https://commons.wikimedia.org/wiki/Special:Redirect/file/Shinjuku%20Gyoen%20National%20Garden%20-%20sakura%203.JPG?width=400,https://www.openstreetmap.org/way/15772074
10,Nezu Museum,Tokyo,Japan,A,Q1047097,exact,name + coordinates,high,True,True,124,23,86,14,True,2018 Nezu Museum 1.jpg,2500,1635,1.529,,unverified,,True,way,139972313,unknown,,Exact museum entity.,https://www.wikidata.org/wiki/Q1047097,https://en.wikipedia.org/wiki/Nezu_Museum,https://he.wikipedia.org/wiki/%D7%9E%D7%95%D7%96%D7%99%D7%90%D7%95%D7%9F_%D7%A0%D7%96%D7%95,https://commons.wikimedia.org/wiki/File:2018%20Nezu%20Museum%201.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/2018%20Nezu%20Museum%201.jpg?width=400,https://www.openstreetmap.org/way/139972313
11,Golden Gai,Tokyo,Japan,B,Q5363705,exact,name + coordinates,high,True,False,330,56,,,True,G2 Street 20090626 2.jpg,3648,2736,1.333,,unverified,,True,relation,16562139,unknown,,Exact district entity.,https://www.wikidata.org/wiki/Q5363705,https://en.wikipedia.org/wiki/Shinjuku_Golden_Gai,,https://commons.wikimedia.org/wiki/File:G2%20Street%2020090626%202.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/G2%20Street%2020090626%202.jpg?width=400,https://www.openstreetmap.org/relation/16562139
